Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30861.95,2023-07-03 15:03:52.865856,30871.02,2023-07-03 15:04:05.952545,0.9069999999999709,2G,30,0.02,-10,15,30,5,15,5,30,10,4.100817
30872.27,2023-07-03 15:04:06.838807,30905.84,2023-07-03 15:04:49.539845,3.356999999999971,1G,30,0.02,-10,15,30,5,15,5,30,10,4.768845
30909.92,2023-07-03 15:04:50.432161,30921.82,2023-07-03 15:04:51.340286,1.1900000000001456,1P,30,0.02,-10,15,30,5,15,5,30,10,13.209735
30901.56,2023-07-03 15:05:50.743300,30908.32,2023-07-03 15:06:03.955540,0.67599999999984,2G,30,0.02,-10,15,30,5,15,5,30,10,21.299914
30908.01,2023-07-03 15:06:17.246118,30924.69,2023-07-03 15:06:26.046102,1.6680000000000292,1G,30,0.02,-10,15,30,5,15,5,30,10,2.862472
30925.09,2023-07-03 15:06:26.907435,30931.54,2023-07-03 15:07:09.597802,0.6450000000000728,2G,30,0.02,-10,15,30,5,15,5,30,10,4.311157
30931.65,2023-07-03 15:07:10.452155,30939.2,2023-07-03 15:07:35.664346,0.7549999999999273,2G,30,0.02,-10,15,30,5,15,5,30,10,3.680744
30908.63,2023-07-03 15:08:32.427199,30919.63,2023-07-03 15:08:33.292517,1.1,1G,30,0.02,-10,15,30,5,15,5,30,10,3.779674
30919.97,2023-07-03 15:08:34.249836,30934.22,2023-07-03 15:08:45.866751,1.425,1G,30,0.02,-10,15,30,5,15,5,30,10,5.337204
30887.46,2023-07-03 15:09:47.222299,30913.53,2023-07-03 15:10:09.811644,2.606999999999971,1G,30,0.02,-10,15,30,5,15,5,30,10,4.139304
30894.23,2023-07-03 15:12:37.327631,30904.95,2023-07-03 15:13:12.504200,1.0720000000001164,2G,30,0.02,-10,15,30,5,15,5,30,10,2.689505
30905.04,2023-07-03 15:13:13.438574,30909.55,2023-07-03 15:14:09.453719,0.45099999999984,2G,30,0.02,-10,15,30,5,15,5,30,10,4.47517
30916.12,2023-07-03 15:14:10.371446,30924.02,2023-07-03 15:14:14.168604,0.7900000000001456,2G,30,0.02,-10,15,30,5,15,5,30,10,5.057273
30914.45,2023-07-03 15:15:19.514198,30929.02,2023-07-03 15:15:45.817696,1.456999999999971,1G,30,0.02,-10,15,30,5,15,5,30,10,3.707577
30850.0,2023-07-03 15:18:10.326187,30859.54,2023-07-03 15:18:14.662873,0.9540000000000873,2G,30,0.02,-10,15,30,5,15,5,30,10,13.595439
30855.5,2023-07-03 15:19:19.907907,30863.58,2023-07-03 15:20:12.547899,0.8080000000001747,2G,30,0.02,-10,15,30,5,15,5,30,10,4.030944
