Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30637.61,2023-07-03 08:21:33.643446,30627.59,2023-07-03 08:22:30.779739,-1.0020000000000437,1P,30,0.02,-10,15,30,5,15,5,30,10,4.392221
30625.66,2023-07-03 08:24:42.041204,30623.74,2023-07-03 08:24:42.614688,-0.1919999999998254,2G,30,0.02,-10,15,30,5,15,5,30,10,4.870686
30629.1,2023-07-03 08:24:43.459187,30623.73,2023-07-03 08:24:44.331410,-0.5369999999998981,2G,30,0.02,-10,15,30,5,15,5,30,10,6.031602
30629.36,2023-07-03 08:24:45.232066,30626.07,2023-07-03 08:24:46.135340,-0.32900000000008733,2G,30,0.02,-10,15,30,5,15,5,30,10,7.803167
30634.56,2023-07-03 08:24:47.055954,30624.73,2023-07-03 08:26:52.962790,-0.9830000000001746,1P,30,0.02,-10,15,30,5,15,5,30,10,9.606470999999999
30632.09,2023-07-03 08:31:32.893422,30631.92,2023-07-03 08:31:37.651969,-0.017000000000189176,2G,30,0.02,-10,15,30,5,15,5,30,10,3.705962
30642.49,2023-07-03 08:31:38.538546,30630.93,2023-07-03 08:31:59.730510,-1.156000000000131,1P,30,0.02,-10,15,30,5,15,5,30,10,9.343235
30646.44,2023-07-03 08:46:14.834661,30636.99,2023-07-03 08:53:58.819187,-0.944999999999709,1P,30,0.02,-10,15,30,5,15,5,30,10,13.29621
30651.62,2023-07-03 09:07:47.245819,30649.58,2023-07-03 09:08:25.955307,-0.2039999999997235,2G,30,0.02,-10,15,30,5,15,5,30,10,4.980037
30655.02,2023-07-03 09:08:26.807819,30652.18,2023-07-03 09:08:27.659398,-0.2840000000000146,2G,30,0.02,-10,15,30,5,15,5,30,10,5.052794
30652.19,2023-07-03 09:08:28.524487,30652.01,2023-07-03 09:08:29.149316,-0.018000000000029104,2G,30,0.02,-10,15,30,5,15,5,30,10,6.773959
30652.82,2023-07-03 09:08:29.985211,30652.16,2023-07-03 09:08:30.843079,-0.06599999999998545,2G,30,0.02,-10,15,30,5,15,5,30,10,8.225077
30653.2,2023-07-03 09:08:31.914283,30650.25,2023-07-03 09:08:32.627548,-0.29500000000007276,2G,30,0.02,-10,15,30,5,15,5,30,10,10.023749
30653.21,2023-07-03 09:08:33.204725,30650.22,2023-07-03 09:08:34.097041,-0.29899999999979626,2G,30,0.02,-10,15,30,5,15,5,30,10,11.717288
30668.8,2023-07-03 09:14:58.090296,30658.58,2023-07-03 09:22:07.946550,-1.0219999999997527,1P,30,0.02,-10,15,30,5,15,5,30,10,4.199962
30658.57,2023-07-03 09:22:29.719503,30647.29,2023-07-03 09:32:47.142687,-1.1279999999998835,1P,30,0.02,-10,15,30,5,15,5,30,10,3.797896
30648.0,2023-07-03 09:35:46.699266,30637.02,2023-07-03 09:50:04.818203,-1.0979999999999563,1P,30,0.02,-10,15,30,5,15,5,30,10,11.961277
30637.05,2023-07-03 09:50:05.648957,30625.71,2023-07-03 09:52:37.672375,-1.1340000000000146,1P,30,0.02,-10,15,30,5,15,5,30,10,22.563863
30627.4,2023-07-03 09:52:38.533756,30616.31,2023-07-03 09:56:27.381436,-1.1090000000000146,1P,30,0.02,-10,15,30,5,15,5,30,10,21.516742
30614.42,2023-07-03 09:56:58.499540,30603.29,2023-07-03 09:57:15.775741,-1.1129999999997382,1P,30,0.02,-10,15,30,5,15,5,30,10,3.705545
30609.44,2023-07-03 10:02:09.196612,30595.67,2023-07-03 10:04:29.677095,-1.3770000000000437,1P,30,0.02,-10,15,30,5,15,5,30,10,3.502641
30626.92,2023-07-03 10:18:18.073656,30617.2,2023-07-03 10:19:10.186142,-0.9719999999997526,1P,30,0.02,-10,15,30,5,15,5,30,10,3.019143
30621.99,2023-07-03 10:22:50.265474,30608.55,2023-07-03 10:29:12.372881,-1.344000000000233,1P,30,0.02,-10,15,30,5,15,5,30,10,3.004889
30662.47,2023-07-03 10:52:17.201226,30660.86,2023-07-03 10:52:18.060154,-0.1610000000000582,2G,30,0.02,-10,15,30,5,15,5,30,10,4.011953
30663.72,2023-07-03 10:52:18.652929,30650.88,2023-07-03 10:58:07.473335,-1.2840000000000147,1P,30,0.02,-10,15,30,5,15,5,30,10,5.467767
