Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
30635.07,2023-07-03 08:54:33.762570,30632.51,2023-07-03 08:54:42.512614,-0.25600000000013096
30651.49,2023-07-03 09:07:46.484497,30650.72,2023-07-03 09:08:08.242654,-0.07700000000004366
30653.99,2023-07-03 09:08:25.893574,30652.15,2023-07-03 09:08:38.965521,-0.18400000000001457
30668.16,2023-07-03 09:14:56.873615,30665.85,2023-07-03 09:15:18.703900,-0.231000000000131
30665.95,2023-07-03 09:16:11.958105,30664.25,2023-07-03 09:16:25.091473,-0.17000000000007276
30664.61,2023-07-03 09:16:51.328495,30662.32,2023-07-03 09:17:30.597037,-0.22900000000008733
30662.24,2023-07-03 09:17:56.699944,30661.0,2023-07-03 09:18:05.667171,-0.12400000000016008
30660.0,2023-07-03 09:21:41.927625,30658.82,2023-07-03 09:22:07.676029,-0.11800000000002911
30658.55,2023-07-03 09:22:29.445754,30655.89,2023-07-03 09:23:04.379913,-0.26599999999998547
30660.0,2023-07-03 09:25:55.111142,30657.63,2023-07-03 09:26:22.184267,-0.23699999999989815
30650.0,2023-07-03 09:30:52.628074,30647.33,2023-07-03 09:32:46.737535,-0.2669999999998254
30641.08,2023-07-03 09:33:30.974301,30638.36,2023-07-03 09:34:05.768078,-0.2720000000001164
30638.19,2023-07-03 09:34:18.431188,30636.08,2023-07-03 09:35:24.620491,-0.21099999999969443
30643.41,2023-07-03 09:47:35.457932,30642.44,2023-07-03 09:49:03.327132,-0.09700000000011642
30639.61,2023-07-03 09:49:47.125780,30636.9,2023-07-03 09:50:05.010904,-0.2709999999999127
30639.26,2023-07-03 09:50:22.216261,30638.16,2023-07-03 09:51:01.630462,-0.10999999999985449
30637.07,2023-07-03 09:51:32.397235,30635.55,2023-07-03 09:51:49.871808,-0.15200000000004366
30634.49,2023-07-03 09:52:20.562053,30625.68,2023-07-03 09:52:37.693377,-0.881000000000131
30625.76,2023-07-03 09:53:03.988628,30625.26,2023-07-03 09:53:34.519939,-0.05
30620.07,2023-07-03 09:54:00.710314,30618.99,2023-07-03 09:54:59.536730,-0.10799999999981083
30614.31,2023-07-03 09:56:58.115149,30611.77,2023-07-03 09:57:06.743853,-0.2540000000000873
30609.43,2023-07-03 10:02:08.916983,30607.77,2023-07-03 10:02:31.114220,-0.16599999999998546
30607.94,2023-07-03 10:02:39.489542,30606.23,2023-07-03 10:02:57.087990,-0.1709999999999127
30617.5,2023-07-03 10:09:18.950755,30614.59,2023-07-03 10:09:59.093821,-0.29099999999998544
30626.91,2023-07-03 10:18:17.635123,30623.77,2023-07-03 10:18:26.208525,-0.3139999999999418
30618.94,2023-07-03 10:19:01.305096,30617.19,2023-07-03 10:19:10.486901,-0.17500000000000002
30622.92,2023-07-03 10:25:27.535671,30620.24,2023-07-03 10:26:30.595828,-0.26799999999966534
30618.35,2023-07-03 10:27:01.012757,30616.01,2023-07-03 10:27:22.999108,-0.23400000000001456
30613.97,2023-07-03 10:27:53.572008,30608.81,2023-07-03 10:29:12.215759,-0.5159999999999855
30640.02,2023-07-03 10:36:53.292436,30640.0,2023-07-03 10:36:58.130221,-0.0020000000000436557
30640.05,2023-07-03 10:36:58.957314,30639.96,2023-07-03 10:36:59.405334,-0.009000000000014552
30640.13,2023-07-03 10:37:00.218615,30639.92,2023-07-03 10:37:00.669323,-0.02100000000027649
30646.72,2023-07-03 10:44:32.921712,30646.71,2023-07-03 10:44:33.372128,-0.0010000000002037268
30647.28,2023-07-03 10:44:34.217778,30646.7,2023-07-03 10:44:34.663954,-0.05799999999981083
30647.29,2023-07-03 10:44:35.515555,30646.62,2023-07-03 10:44:35.971211,-0.06700000000018917
30647.49,2023-07-03 10:44:36.790574,30646.67,2023-07-03 10:44:37.262306,-0.0820000000003347
