Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30664.12,59:22.8,30666.9,00:02.3,0.278,0.0278,0.3066412,0.306669,0.9233102
30654.41,03:23.5,30668.67,04:55.4,1.426,0.1426,0.3065441,0.3066867,0.9232308
30664.98,05:56.4,30670.42,06:53.5,0.544,0.0544,0.3066498,0.3067042,0.923354
30671.56,07:37.4,30679.04,08:17.1,0.748,0.0748,0.3067156,0.3067904,0.923506
30680.82,08:56.1,30685.12,09:26.9,0.43,0.043,0.3068082,0.3068512,0.9236594
30678.31,11:38.5,30685.93,12:43.9,0.762,0.0762,0.3067831,0.3068593,0.9236424
30688.91,13:19.1,30689.78,13:49.5,0.087,0.0087,0.3068891,0.3068978,0.9237869
30679.96,15:38.6,30684.13,16:53.5,0.417,0.0417,0.3067996,0.3068413,0.9236409
30692.46,17:14.7,30692.59,17:32.3,0.013,0.0013,0.3069246,0.3069259,0.9238505
30628.61,21:38.5,30630.37,21:42.5,0.176,0.0176,0.3062861,0.3063037,0.9225898
30617.71,23:06.1,30623.75,24:19.8,0.604,0.0604,0.3061771,0.3062375,0.9224146
30625.99,24:42.1,30628.5,25:03.6,0.251,0.0251,0.3062599,0.306285,0.9225449
30623.78,27:14.9,30625.9,28:07.0,0.212,0.0212,0.3062378,0.306259,0.9224968
30623.68,29:56.5,30629.55,31:10.6,0.587,0.0587,0.3062368,0.3062955,0.9225323
30631.65,31:32.5,30633.26,31:54.7,0.161,0.0161,0.3063165,0.3063326,0.9226491
30612.56,33:04.8,30617.79,34:01.9,0.523,0.0523,0.3061256,0.3061779,0.9223035
30617.88,35:51.4,30646.52,37:41.5,2.864,0.2864,0.3061788,0.3064652,0.922644
30649.91,38:20.7,30657.54,38:51.1,0.763,0.0763,0.3064991,0.3065754,0.9230745
30633.08,41:15.4,30633.56,42:16.4,0.048,0.0048,0.3063308,0.3063356,0.9226664
30630.98,42:51.2,30635.96,43:57.8,0.498,0.0498,0.3063098,0.3063596,0.9226694
30633.01,44:50.5,30640,45:52.4,0.699,0.0699,0.3063301,0.3064,0.9227301
30641.46,46:05.3,30647.25,46:32.0,0.579,0.0579,0.3064146,0.3064725,0.9228871
30643.78,47:33.6,30643.98,48:26.5,0.02,0.002,0.3064378,0.3064398,0.9228776
30641.25,49:23.5,30641.99,50:25.0,0.074,0.0074,0.3064125,0.3064199,0.9228324
30631.99,55:04.3,30637.54,56:41.6,0.555,0.0555,0.3063199,0.3063754,0.9226953
30639.25,56:50.2,30639.83,57:07.6,0.058,0.0058,0.3063925,0.3063983,0.9227908
30643.76,00:11.8,30647.43,00:42.4,0.367,0.0367,0.3064376,0.3064743,0.9229119
30638.92,03:19.7,30648.06,05:09.3,0.914,0.0914,0.3063892,0.3064806,0.9228698
30647.39,06:32.3,30649.35,07:33.4,0.196,0.0196,0.3064739,0.3064935,0.9229674
30656.71,09:10.0,30658.25,09:35.9,0.154,0.0154,0.3065671,0.3065825,0.9231496
30661.21,10:59.2,30661.97,11:08.2,0.076,0.0076,0.3066121,0.3066197,0.9232318
30665.12,11:56.0,30666.3,12:36.7,0.118,0.0118,0.3066512,0.306663,0.9233142
30664.02,13:38.3,30666.76,14:26.3,0.274,0.0274,0.3066402,0.3066676,0.9233078
30667.22,14:30.6,30667.61,14:52.5,0.039,0.0039,0.3066722,0.3066761,0.9233483
30661.01,18:23.3,30663.5,20:09.3,0.249,0.0249,0.3066101,0.306635,0.9232451
30658.58,23:17.8,30659.98,24:05.9,0.14,0.014,0.3065858,0.3065998,0.9231856
30655.84,27:00.8,30659.63,28:06.3,0.379,0.0379,0.3065584,0.3065963,0.9231547
30661.15,28:45.6,30662.79,29:11.9,0.164,0.0164,0.3066115,0.3066279,0.9232394
30638.34,35:37.6,30644.93,36:16.6,0.659,0.0659,0.3063834,0.3064493,0.9228327
30649.45,36:38.4,30652.84,37:00.2,0.339,0.0339,0.3064945,0.3065284,0.9230229
30643.58,38:05.6,30645.57,39:16.0,0.199,0.0199,0.3064358,0.3064557,0.9228915
30646.47,39:24.8,30649.97,40:12.6,0.35,0.035,0.3064647,0.3064997,0.9229644
30643.41,42:24.1,30645.98,46:08.0,0.257,0.0257,0.3064341,0.3064598,0.9228939
30619.82,55:21.5,30621.38,56:01.6,0.156,0.0156,0.3061982,0.3062138,0.922412
30605.68,57:32.9,30606.9,58:51.7,0.122,0.0122,0.3060568,0.306069,0.9221258
