Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
1953.91,2023-07-03 07:18:45.243905,1953.86,2023-07-03 07:18:45.699738,-0.00500000000001819
1953.89,2023-07-03 07:18:47.621470,1953.86,2023-07-03 07:18:48.070014,-0.0030000000000200092
1955.79,2023-07-03 07:19:49.295581,1955.6,2023-07-03 07:19:54.241275,-0.019000000000005457
1955.61,2023-07-03 07:19:55.107485,1955.6,2023-07-03 07:19:55.289731,-0.0009999999999990906
1956.69,2023-07-03 07:20:07.405888,1955.67,2023-07-03 07:20:23.857923,-0.10199999999999819
1954.5,2023-07-03 07:21:01.590631,1953.37,2023-07-03 07:21:18.980724,-0.11300000000001093
1959.38,2023-07-03 07:30:35.045822,1958.6,2023-07-03 07:30:45.753762,-0.07800000000002001
1957.19,2023-07-03 07:31:34.283296,1956.68,2023-07-03 07:31:45.324470,-0.050999999999999095
1956.33,2023-07-03 07:31:56.005502,1956.32,2023-07-03 07:31:56.465571,-0.0009999999999990906
1956.33,2023-07-03 07:32:01.187090,1956.31,2023-07-03 07:32:01.780507,-0.001999999999998181
1956.34,2023-07-03 07:32:07.941770,1956.29,2023-07-03 07:32:45.409219,-0.0049999999999954525
1955.45,2023-07-03 07:33:29.352241,1954.5,2023-07-03 07:33:39.912330,-0.09500000000000455
1957.96,2023-07-03 07:36:01.816237,1957.85,2023-07-03 07:36:02.267182,-0.011000000000012734
1957.96,2023-07-03 07:36:06.205531,1957.92,2023-07-03 07:36:06.662344,-0.003999999999996362
1958.1,2023-07-03 07:36:07.278746,1957.92,2023-07-03 07:36:07.464506,-0.01799999999998363
1959.88,2023-07-03 07:36:08.461008,1957.92,2023-07-03 07:36:08.914038,-0.19600000000000364
1960.22,2023-07-03 07:36:09.519228,1957.92,2023-07-03 07:36:09.968908,-0.22999999999999546
1960.4,2023-07-03 07:36:10.538951,1957.92,2023-07-03 07:36:10.993159,-0.24800000000000183
1964.88,2023-07-03 07:37:10.579018,1963.6,2023-07-03 07:37:21.606484,-0.12800000000002001
1968.8,2023-07-03 07:39:58.541081,1968.78,2023-07-03 07:39:58.997472,-0.001999999999998181
1968.83,2023-07-03 07:40:00.934376,1968.82,2023-07-03 07:40:01.390747,-0.0009999999999990906
1968.6,2023-07-03 07:40:03.393969,1968.47,2023-07-03 07:40:03.842488,-0.012999999999988177
1970.35,2023-07-03 07:40:08.054960,1969.42,2023-07-03 07:40:18.854451,-0.09299999999998364
1967.54,2023-07-03 07:43:18.777763,1967.26,2023-07-03 07:43:34.649597,-0.027999999999997274
1968.01,2023-07-03 07:45:29.438439,1967.69,2023-07-03 07:45:34.911572,-0.03199999999999364
1969.59,2023-07-03 07:46:44.985980,1969.3,2023-07-03 07:46:55.879692,-0.028999999999996362
1971.15,2023-07-03 07:48:08.329821,1971.02,2023-07-03 07:48:13.874379,-0.013000000000010914
1968.73,2023-07-03 07:49:56.164444,1968.58,2023-07-03 07:51:08.075386,-0.015000000000009096
1967.47,2023-07-03 07:52:13.003175,1966.9,2023-07-03 07:52:45.380692,-0.05699999999999364
1966.91,2023-07-03 07:52:50.637156,1966.82,2023-07-03 07:53:34.558843,-0.009000000000014552
1966.58,2023-07-03 07:54:13.014748,1965.87,2023-07-03 07:54:45.249234,-0.07100000000000364
